City,Host
Athens,GRE
Paris,FRA
St Louis,USA
London,GBR
Stockholm,SWE
Antwerp,BEL
Amsterdam,NED
Los Angeles,USA
Berlin,GER
Helsinki,FIN
Melbourne,AUS
Melbourne / Stockholm,AUS
Stockholm,SWE
Rome,ITA
Tokyo,JPN
Mexico,MEX
Munich,GER
Montreal,CAN
Moscow,URS
Seoul,KOR
Barcelona,ESP
Atlanta,USA
Sydney,AUS
Beijing,CHN
Chamonix,FRA
St.Moritz,SUI
Lake Placid,USA
Garmisch Partenkirchen,GDR
Oslo,NOR
Cortina d'Ampezzo,ITA
Squaw Valley,USA
Innsbruck,AUT
Grenoble,FRA
Sapporo,JPN
Sarajevo,YUG
Calgary,CAN
Albertville,FRA
Lillehammer,NOR
Nagano,JON
Salt Lake City,USA
Turin,ITA
Vancouver,CAN
Sochi,RUS
